age,gender,race,zip_code,years_experience,income,credit_score,loan_approved
36,Female,White,10001,12.6,64597,698,1
21,Male,Asian,10003,0.0,89598,717,1
38,Male,Black,20004,11.2,53968,714,0
41,Female,Black,20004,14.600000000000001,35302,700,0
40,Female,White,10002,0.7999999999999998,65835,696,1
45,Male,White,10005,12.8,56336,671,1
43,Female,White,10004,6.300000000000001,70066,707,1
39,Female,Hispanic,30001,13.3,69261,685,1
34,Female,Black,20002,9.5,30818,777,1
18,Female,Black,20005,3.0999999999999996,71907,740,1
39,Female,White,10002,6.5,54902,627,0
37,Male,Asian,40001,9.3,68872,630,1
37,Female,Hispanic,10002,6.9,65341,693,0
22,Female,White,10002,13.1,67348,680,0
24,Male,White,10003,5.8,57818,690,0
45,Male,White,10001,15.0,50228,732,1
34,Male,White,10001,8.5,54620,715,1
41,Female,Black,20001,8.6,79303,715,0
35,Female,White,10003,7.9,42683,772,0
35,Male,White,10003,9.9,45615,630,0
44,Female,Black,20004,7.4,32737,705,0
29,Male,White,10002,17.3,62715,671,1
35,Female,White,10004,11.7,29506,771,0
30,Female,White,10002,5.699999999999999,32929,589,1
30,Female,White,10003,15.399999999999999,54781,591,1
31,Male,Hispanic,30003,11.4,27244,715,1
37,Male,White,10004,11.8,35875,756,1
30,Male,Black,20005,5.8,22395,738,1
47,Male,Black,20004,7.5,31068,659,0
26,Female,White,10002,4.1,74625,775,0
33,Female,Black,20004,7.9,67114,638,1
30,Female,White,10001,10.7,98380,765,1
49,Female,White,10002,9.3,97647,645,1
36,Female,Asian,40002,15.399999999999999,75726,682,1
45,Female,Asian,10003,3.0999999999999996,80554,731,1
20,Female,Hispanic,30003,8.1,55622,626,0
37,Female,White,10002,1.1,70397,773,1
43,Male,White,10003,5.4,98872,682,1
35,Male,Black,20004,16.3,55424,706,1
45,Male,White,10001,7.7,83065,758,0
29,Female,White,10005,3.5,41313,660,0
49,Female,White,10003,0.0,46675,753,0
57,Male,White,10002,5.9,66241,782,1
31,Female,Asian,40003,6.5,62999,667,1
30,Female,White,10002,0.7000000000000002,47601,768,1
49,Male,Black,20003,8.7,96148,611,0
50,Male,White,10002,16.4,63452,719,1
29,Female,Black,20004,4.0,39145,638,0
30,Male,Black,20002,5.3,51032,747,1
32,Female,White,10002,1.9000000000000004,60509,743,1
21,Male,Asian,40001,4.3,63756,803,1
25,Female,Hispanic,30002,10.2,21126,771,0
24,Female,Asian,40001,7.699999999999999,85839,691,0
27,Female,Hispanic,10002,12.3,79977,645,1
34,Female,Black,20001,17.6,77406,728,0
37,Male,Asian,10001,0.8,66509,696,1
50,Male,White,10001,11.9,73250,777,1
25,Male,White,10005,4.4,42675,591,1
44,Female,White,10004,11.4,76658,809,1
32,Female,White,10003,6.1,65036,726,1
34,Female,White,10003,7.6,50792,659,1
41,Male,White,10001,3.6,77295,736,1
23,Male,Hispanic,30001,7.9,71069,764,1
38,Male,White,10005,10.4,61212,705,1
36,Male,White,10005,16.8,68768,611,1
39,Female,Black,20002,3.5,27366,685,1
37,Male,White,10005,7.2,84864,751,1
